iter	Passed	Remaining
0	32	49021
1	106	79617
2	171	85711
3	245	91914
4	317	94889
5	386	96294
6	469	100200
7	526	98181
8	593	98348
9	665	99205
10	734	99406
11	768	95259
12	835	95532
13	867	92107
14	926	91740
15	978	90800
16	1044	91153
17	1113	91702
18	1176	91676
19	1220	90282
20	1281	90268
21	1359	91350
22	1435	92166
23	1497	92092
24	1561	92130
25	1627	92256
26	1705	93037
27	1772	93163
28	1836	93148
29	1901	93176
30	1980	93845
31	2055	94281
32	2128	94626
33	2202	94956
34	2272	95132
35	2348	95514
36	2432	96185
37	2500	96213
38	2591	97067
39	2641	96417
40	2689	95723
41	2737	95019
42	2787	94458
43	2835	93824
44	2887	93354
45	2944	93067
46	3005	92913
47	3058	92523
48	3106	91985
49	3154	91489
50	3199	90914
51	3245	90361
52	3289	89800
53	3334	89280
54	3378	88749
55	3419	88181
56	3466	87752
57	3516	87417
58	3560	86964
59	3603	86473
60	3645	86005
61	3690	85603
62	3738	85272
63	3785	84930
64	3828	84528
65	3878	84266
66	3925	83956
67	3968	83581
68	4015	83282
69	4060	82942
70	4102	82562
71	4144	82208
72	4192	81946
73	4236	81639
74	4277	81266
75	4326	81058
76	4370	80772
77	4415	80489
78	4466	80332
79	4517	80188
80	4564	79961
81	4607	79675
82	4652	79436
83	4695	79154
84	4742	78941
85	4793	78815
86	4836	78553
87	4880	78308
88	4923	78059
89	4966	77813
90	5011	77588
91	5057	77395
92	5100	77161
93	5143	76932
94	5187	76720
95	5232	76525
96	5278	76350
97	5318	76091
98	5362	75881
99	5403	75648
100	5450	75494
101	5496	75334
102	5538	75125
103	5595	75110
104	5645	75002
105	5691	74848
106	5748	74842
107	5794	74684
108	5839	74514
109	5880	74314
110	5925	74152
111	5967	73951
112	6014	73826
113	6058	73659
114	6103	73506
115	6152	73411
116	6199	73285
117	6247	73168
118	6289	72987
119	6336	72867
120	6380	72717
121	6420	72525
122	6472	72459
123	6521	72369
124	6568	72258
125	6613	72119
126	6658	71990
127	6704	71862
